codgeo;P10_POP0610;P10_POP1117;P10_POP1824;P10_POP2539;P10_POP4054;P10_POP5564;P10_POP6579;P10_POP80P
1;41592.57158399998;55971.95394499997;43667.025048000025;116462.26241999996;129956.25880200003;71943.82788600006;61796.314960000025;27131.915882000023
2;36115.733562999994;48871.35869600002;42463.29782500007;98914.03829299999;111766.43514799998;71074.934232;61179.55812899998;28412.019872999987
3;18499.866950000003;25981.821871000004;22342.143225000003;54718.76297499993;70473.47218300003;50470.49263500001;52700.09955999999;27323.018605000005
4;9486.169313;13433.433107999992;10330.262104000001;25114.965527000008;34383.542905;22744.125666;24075.203264999996;10670.221016
5;8274.084680000002;11831.976485999996;8431.675332;23020.932373000003;30014.686973999997;19055.68438;18569.743142999996;9029.861845999998
6;57276.396048999995;84711.20618999994;83690.16161299997;191727.896067;220866.7804950001;137191.13010800004;156129.140581;80160.72370800005
7;19325.963349999998;26310.927453999997;19430.53849500001;52823.67867799999;66220.37896299997;44342.751713000005;43895.324788000034;21358.897752000004
8;18057.839141999997;25582.62247099997;21280.107756999998;51398.52232400002;60303.169394;37285.16420300001;33622.662144;14471.758021000003
9;8502.029486000001;12009.535210999991;9250.381683000003;24706.41034699999;32342.444982999987;21624.689798000007;22376.74785500001;11645.906517000007
10;18228.506479000003;26099.659887000013;25123.563628999993;54590.408821;61606.542457000025;40384.86908400002;37317.570506000025;17549.160457999995
11;20735.202647999984;29171.037854000006;23920.465918999984;58690.48112599998;72535.72213400001;50326.11178000002;52080.56073599998;25688.07488399999
12;14982.549326999992;20803.07778400001;16602.41877399999;44258.35972300002;56949.573950000035;38991.728868;43912.73282500003;23247.642042999993
13;117609.22961699992;167695.3207349999;184064.856189;370460.7147830001;404260.21234499995;243682.040279;237396.05482099988;108141.00364199997
14;42589.471534000026;58525.97642000002;64686.92882799994;124717.44947600004;137151.042092;89472.54989599997;79866.35549999989;37100.609769999995
15;7396.9383790000065;10170.390994;8943.240239000002;23826.814862999992;31844.62329699999;22078.513667999992;23329.09721199999;12156.924162000005
16;19425.939798999996;27612.936525000026;24392.735134000006;58372.931952000006;74485.996815;50256.88806199994;49754.858980000005;25295.405309000005
17;34500.52461400001;47934.622008000035;44595.52484899998;101387.131128;124855.30746199995;91575.68397700001;94021.82376000012;45424.339138000054
18;17447.508926000006;24909.607864;21255.676838;51318.72480600002;65223.73308899995;44753.465052999985;45155.26708199999;21508.367894
19;12554.489488;17236.067196999986;16510.607928000005;39312.53129;49945.73213499999;35188.97244000002;38040.756108;20824.16367799999
21;30291.198507999994;42145.195473999986;55080.38718399996;97385.08747000003;106949.97913500002;67638.09482100006;60072.08137199999;29901.79579999999
22;35988.454179;48412.883324000046;38962.029441000006;96732.63919800009;118712.10580399999;83333.80991600009;87254.777708;41475.16191200002
23;5887.779076999996;8665.205199000002;7168.856974;17637.806406999996;25656.75917800002;19022.519102;20616.262886999986;11969.773356999998
24;21811.94295499998;30901.291132000035;24798.421361;62948.50072400004;86389.3563630001;63097.44815099998;67081.60893700001;33575.443857
25;32325.64664400003;44786.56944099998;51465.836017000074;103320.77382300007;105433.30200699992;64432.444011000036;60078.347326000025;25469.34331300002
26;30932.933916;42982.18813100002;35449.32582999999;85342.11296500004;101512.46169000003;63188.41512400001;61952.29377500003;27175.759120000002
27;40291.93212999998;54440.59472200004;43969.78586999993;111630.65725800011;124085.69845900014;75717.56972100002;62243.75400099995;26514.360016999988
28;28689.538692999977;37758.293171999954;31283.248090999994;80998.27761400005;89244.92182699998;55467.71726100003;47893.54176500002;23105.825482
29;54201.96571499999;74464.39192299996;69741.45300400005;158554.66604100002;185938.21024000001;119278.66093099996;118023.59643000002;56108.09738600004
2A;7425.8673739999995;11208.698999999997;10260.902605000007;26118.389179000013;31786.993200999987;18930.07605399999;20955.390933;8530.951427999998
2B;8375.69546;11946.773426999993;13867.436925999997;31207.088366;35230.284878000006;22357.419816999998;23353.03014900001;9691.089926000002
30;43980.84770399998;61528.14760900001;53751.563404999986;122188.71543799994;150015.47134100008;95454.15166800002;92312.625256;40964.47521300003
31;72205.8932740001;100692.323357;140522.22814700005;264432.7697489996;255782.26443000004;140121.09813400003;124291.13519599992;57794.087832999976
32;10309.426624000005;14427.998428999994;10742.828035999995;28484.893384;40384.415322000015;27609.829105999957;29748.142501000013;15532.772187999999
33;84365.221284;118479.65647400015;141051.81928700005;284316.39760399994;298462.69127900037;182958.74419300002;160799.64835899996;79884.03680000003
34;59707.745995000005;85102.26453500001;104313.933216;192673.35522899978;207009.13930400013;133506.351851;132434.87885700003;59950.66859399997
35;64144.802679000044;85301.67003599997;101632.60662500001;196860.10672699986;198578.37889300004;111975.3159389999;103887.45975100005;48548.10579300002
36;12572.879443999997;17693.343401000006;14036.767773999998;36685.20996900001;48329.698148000054;33386.237384000015;36257.07414299998;18334.672057000003
37;35414.17495500003;48931.85210300003;56876.12659;106373.605903;120015.81191199998;75103.25589900001;71828.37232699996;35527.914142
38;79694.89277800005;107655.12734999991;113196.13150700009;236457.386683;248853.2460290001;141977.21485100003;129314.22074700006;54363.33197800002
39;16420.067535000002;22757.903606000018;18027.589151999993;45312.75107500005;54556.106232999984;34851.03668599996;34047.55723200003;16873.49479900001
40;22552.061138999998;30818.93304899997;23218.870533999994;66167.62202599998;81922.37805800002;54241.12173499998;55139.96969399996;25358.687444000014
41;19914.93642200001;27313.572558;21515.525017000007;55482.739396;67534.81173900004;45397.061775999995;46192.521358999984;23601.079588999997
42;45541.94615099997;62985.68355399999;63105.48963299998;132777.09227399997;147123.76786700002;98139.34361099999;97161.07365899994;47290.52209499993
43;13984.219207999999;18873.276564000014;14388.204497999997;37872.160926000004;47014.661444000005;30852.34973400001;30870.133313000013;14807.589603999993
44;84256.40469399998;112290.08884500002;117068.29629500004;252397.14500400005;260316.327297;156220.12612699988;136743.08918399998;63047.34928699998
45;41891.41637400001;56345.41670400002;55278.351446999965;124656.459614;131929.11370400002;83565.48443600003;75372.60472;35609.841073999996
46;9254.591981000005;13197.101385999998;9680.855050000004;26108.886166999997;36530.075241000006;26773.015093999984;28589.805522000006;14652.963012999995
47;18576.502590999986;26248.390175999994;21957.174806999978;53677.24720600005;67425.20378899998;47048.878963;49888.741042999995;25338.452459000004
48;4127.377793000001;5792.958129000001;5099.506428000002;13011.941433000004;16261.188744000005;11233.406955999995;11050.605997999999;5650.808324
49;52484.64431799999;69416.66887600003;73542.93357700006;146606.46210700003;156091.27915100002;93779.321567;86863.52797600003;43612.43051800001
50;30213.442898000005;42935.36034700006;34581.147782999986;83149.74130000004;104291.14885799991;67576.94370299997;69286.71919499998;33440.307425999985
51;34449.129843;47436.39116000004;58156.46870499999;108664.37402499992;114764.71657;72189.14061100001;60776.51801200001;27939.129068
52;10733.737291;15118.89018600001;13263.841927999993;31063.774579999994;38774.58060800002;25758.523838999994;25292.649015;11981.980191999995
53;20884.237556000007;27380.009559000006;22088.080196999974;54899.735726;61830.311487999985;38201.311511000014;37322.66369600001;19345.643922000014
54;42821.18845899998;60093.28099999997;80383.54829700004;140882.32114799996;147284.7043680001;90543.04409400004;82338.05251400004;37305.94809700001
55;12099.369443000009;16611.99882299999;14752.247900000002;35036.85083900002;40566.62993600002;26321.49111900002;23629.345288999983;11313.341275000002
56;44675.63545500001;60081.96462699997;50440.24179599999;124829.255444;149846.64001799995;99240.38058400001;98706.58316899998;43882.20319700002
57;60600.063826000056;86252.53540800005;90768.57325500002;203243.08464200023;231133.82407399986;130980.32707500001;122920.589702;47224.964939999976
58;11538.302041999998;16159.088715000005;14164.752000999997;33539.764371;44422.791127;33692.003134;35470.34234099999;17769.721550000002
59;173672.50849800007;235983.72309199988;268157.0402340001;517708.097081;507695.3608199999;302303.49015900015;251928.48542299977;109394.51217899992
60;55904.44496599999;75198.890318;68065.49654099996;160042.820721;171656.29214700012;98785.22847400005;76416.32625099999;31504.457228000007
61;17710.376559000008;24992.437321000005;20076.475711999992;47647.27596799998;59548.78731700002;40732.56110600004;40536.19688599997;20394.280020000017
62;99240.95887399996;134723.28884199983;126452.14753000003;278212.16582099994;299143.5760949997;183930.5322320002;154209.30138599998;68852.82605099994
63;34390.37697299997;47637.724920999986;60416.694062;116501.71843499993;130729.85306599995;86536.08655299997;78597.21195999999;36747.78495
64;36691.91755399998;51642.05836999996;49085.04527299999;114276.410147;139356.05126299988;86848.87668000002;90532.91847300006;44995.699360000006
65;12088.469288000004;17007.205438000005;16667.674293999997;36220.82559000005;48383.926405;33076.316181999966;35102.589691;17615.403133000003
66;25823.911446000027;36053.885731;32125.475889999994;75450.47556100006;89397.17670199998;60942.213873;67988.06801199999;31996.378727
67;65021.539711999976;91162.33602400008;106903.24955299996;218990.85927699992;237250.09088099998;131224.54851200004;119682.36757699997;48659.27886100002
68;46307.147392999985;65045.54518200005;59144.09090199998;143974.07640299996;165497.2076650001;93766.81352300006;86412.90997299997;35567.10193899998
69;106887.98640699997;144660.269691;192229.57793399997;362385.2171299998;330979.21284700016;189275.83539899995;180678.20558600003;81194.29603799999
70;15171.186209000001;20517.153373999976;15952.785946000016;42838.40303500001;50366.39808300003;33054.30754899999;30340.42703900002;13687.740519999998
71;32342.08514900001;44856.655823999994;36573.27897899999;92241.59151699996;115133.36481299996;78773.76307200002;79954.636092;39644.51689500002
72;36129.97698999999;49192.18096499999;44333.883800999974;101398.47727400003;115054.9526340001;71290.03060800003;69433.33760299996;34206.33087200002
73;25933.076963999996;36085.962020000006;33008.498651;78397.63579600003;89611.60457999993;52071.00571699999;48531.51529299997;21615.011435999993
74;48773.17272400002;65877.57995900004;55171.600835;154791.39569800004;162387.024098;88462.93122300007;74894.3145;30525.760441999995
75;104082.662864;139406.41028399995;243331.25454599995;602604.6130869999;433442.90846;259236.071628;216987.52210800006;105198.65798499998
76;78596.86563999999;108724.9626020001;119645.98252399995;234049.97648900002;254523.31187000018;157046.13227700006;140196.72796400005;65027.66073900002
77;96055.1355290001;127900.845258;121955.93103899999;275718.35191299993;285297.26523100014;151253.68773800004;108301.21774299996;44312.51154100002
78;97835.961946;133944.97599100004;120467.59830399996;282870.54270400014;300439.56236400007;166763.06416;135140.945125;54518.768179000006
79;22508.297638999993;30440.065465000003;25298.883929999985;64534.87828300001;77643.839388;48661.35424000001;48733.81546199999;25278.320492000013
80;36067.060412000035;48096.36399700001;55527.08167199999;108073.49167100007;114915.76680800009;72657.84610199997;63950.421957999984;29503.983133999976
81;21536.556404000006;30251.29490500001;25474.718107999997;61841.519909000046;77725.57580000002;51564.976324;53831.57396199999;28831.841371
82;15095.497208999994;20419.385728000012;15791.120558999999;43223.33035099999;50855.92268500001;31293.088005999998;31141.847544000007;16048.97832899999
83;55622.791240999984;80991.92837699999;72792.08490899994;167367.5401580001;204943.19795299994;138612.45794200012;156691.47565900008;68827.34557600002
84;33172.251775000004;47979.207388;42181.143999999986;95557.19516600005;112725.51851599997;71793.37480599999;70319.164081;30427.850628000004
85;39944.39694399999;51704.55897099999;42433.55678200003;114194.46206600004;127368.54186200004;86558.429997;86593.66022699996;38871.35579200002
86;24758.08070299999;33004.672836;43945.468501999996;76979.83561599997;84817.06867699999;55072.30786299999;52532.21140000001;26866.235897999988
87;19956.171723000014;26789.92919;32806.53673699998;65500.565571;75184.760318;52699.05343999999;52011.70273699998;27529.840189
88;23107.80971700001;32845.390488000034;27938.08834;65309.97443600001;80515.065041;52700.012275000016;49072.26276199996;22565.814760000005
89;20882.029364999988;28900.87650399998;22893.406941999983;58351.47483499996;69838.41090399999;48603.90637100002;45857.752494;23463.022232000014
90;8689.710182999997;12051.291469;13667.607653;28060.981003000004;29282.825574;17593.901899000004;15666.866130000006;7045.391764999998
91;84479.13644099998;112920.89151700003;111907.047313;251261.24604600004;257247.39590700006;136867.76226599992;113738.804619;43102.31034499999
92;99337.489107;126298.644456;136632.574533;376390.772989;320574.01888000005;167441.533306;140628.215553;71314.515422
93;110205.324993;137416.520063;148245.446572;346889.9467920001;306396.3720009999;158651.62186100002;118291.956305;46231.65305399998
94;85214.705912;111560.07676999999;124475.14456600002;297515.089601;276431.17996700003;146610.36043200002;120391.54525199997;54820.390818
95;83614.39183099997;112575.05748599995;114968.36496499997;243860.749919;246576.94110500003;132183.22642899997;94396.44097299996;38498.53764399998
